model_label,supervision,display_name,folder_name,split,metric,value,ci_low,ci_high,ci_half_width,n_samples,n_bootstrap
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test2,UAR,22.244575337918647,21.60168070708316,22.904410279557315,0.6513647862370797,14822,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test2,Accuracy,50.33733639184995,49.541222507084065,51.13345027661585,0.7961138847658894,14822,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test2,F1Other,0.0,0.0,0.0,0.0,14822,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test2,JSD,0.19881196161202982,0.197119708278971,0.20050379016449127,0.0016920409427601396,14822,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test2,KLD,0.8757037632743536,0.8667981916841943,0.884594835340928,0.008898321828366862,14822,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test2,Valence CCC,0.4711411561797068,0.45689447857561105,0.48509977434211765,0.0141026478832533,14822,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test2,Activation CCC,0.5201611569715178,0.5074797436058698,0.5325492037573357,0.01253473007573297,14822,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test2,Dominance CCC,0.4005900851308112,0.3860083086601693,0.4142923220862221,0.0141420067130264,14822,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test2,Mean CCC,0.46396413276067855,0.4539112503214058,0.4736871455130793,0.009887947595836749,14822,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test2,Macro-F1,22.485183602084867,21.732018252770523,23.25158709008156,0.7597844186555194,14822,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test2,UAR,23.0935234743008,22.083649683607984,24.131031544395707,1.0236909303938613,14822,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test2,Accuracy,42.20078262042909,41.3979220078262,43.00364323303198,0.8028606126028875,14822,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test2,F1Other,9.48429164196799,7.624607231996423,11.441994067805188,1.9086934179043822,14822,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test2,JSD,0.23280952620972808,0.23100422110972385,0.23465960653355963,0.0018276927119178915,14822,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test2,KLD,0.9402222540442994,0.931542975225891,0.9491927678876176,0.008824896330863308,14822,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test2,Valence CCC,0.4693794600138297,0.4554483732341252,0.4830493351302343,0.013800480948054555,14822,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test2,Activation CCC,0.5235338982361437,0.5110542773363334,0.5355307027837818,0.012238212723724218,14822,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test2,Dominance CCC,0.40283028655222497,0.38871943266106296,0.41637536360192473,0.013827965470430886,14822,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test2,Mean CCC,0.46524788160073277,0.45533522223873385,0.4748507297796432,0.00975775377045468,14822,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test2,Macro-F1,31.50729607527147,30.66039942522021,37.807810171620766,3.573705373200278,14822,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test2,UAR,21.995598548096847,21.440609022282253,22.5645081664936,0.5619495721056731,14822,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test2,Accuracy,51.64620159222777,50.83642558359196,52.45580893266766,0.8096916745378491,14822,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test2,F1Other,0.0,0.0,0.0,0.0,14822,10000
